Calibration_Linear,Calibration_ToF
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
860,-1
859,-1
859,-1
859,-1
859,-1
859,-1
860,-1
859,-1
860,-1
861,0
861,0
861,11
861,121
861,144
861,123
861,120
860,126
861,119
861,120
861,118
860,118
861,119
861,120
860,120
861,119
861,121
861,120
861,122
861,124
861,120
861,124
860,123
861,114
861,118
861,118
861,122
861,122
861,121
861,121
860,119
861,122
861,121
861,115
861,118
861,119
861,120
861,124
860,125
861,121
861,122
861,119
861,117
861,121
860,117
861,120
861,120
860,118
860,122
860,116
861,117
861,119
861,116
861,119
861,120
861,119
861,118
860,118
861,116
861,117
861,122
861,116
861,116
860,120
861,121
861,124
861,120
861,118
860,119
861,116
861,119
861,119
861,119
861,120
861,119
861,119
860,119
860,119
861,117
861,119
861,119
861,117
860,118
861,119
861,118
861,118
861,115
861,118
860,120
861,119
861,120
860,118
861,116
861,117
861,118
861,118
861,120
861,123
860,119
861,121
861,119
861,119
861,118
861,119
861,119
861,117
861,120
861,120
861,116
861,117
861,120
860,117
860,115
861,117
861,125
861,123
861,121
861,119
860,120
861,116
861,114
861,121
861,118
861,117
860,119
860,120
861,119
861,114
861,121
861,121
861,113
861,121
861,119
861,117
861,118
861,119
861,120
861,119
861,120
861,119
861,120
860,119
861,117
861,117
861,118
861,121
860,121
860,116
861,116
861,120
861,121
860,120
861,121
860,118
861,117
861,119
860,119
861,116
861,115
860,116
861,117
861,119
860,119
860,120
861,118
861,121
861,123
861,117
860,121
861,119
861,120
861,117
860,122
860,122
861,118
861,121
861,121
861,121
861,117
861,117
860,118
861,117
861,118
861,122
861,118
861,120
861,120
861,117
861,117
861,119
861,113
861,114
861,118
861,120
861,121
861,119
861,116
861,119
861,120
861,117
861,120
861,117
861,121
861,123
861,117
861,120
861,119
861,119
861,118
861,115
861,115
860,122
861,121
861,116
861,117
861,119
860,122
861,119
861,122
861,120
861,118
861,120
861,118
861,122
861,123
861,118
861,120
860,118
861,119
861,118
860,116
861,124
861,118
860,120
861,120
861,121
860,119
861,118
861,120
861,120
861,120
861,117
861,117
861,117
861,120
861,117
861,117
861,118
861,117
861,119
861,120
860,119
860,120
861,118
861,121
861,121
861,117
862,120
861,121
861,119
861,124
861,122
860,120
861,117
861,118
860,119
861,119
861,121
861,118
860,118
860,119
861,116
861,118
861,120
861,120
861,117
860,117
861,118
861,117
861,117
860,117
861,118
861,119
861,119
861,116
860,120
860,120
861,120
860,116
860,118
861,122
861,117
860,116
861,117
861,119
861,121
860,118
861,122
860,115
861,116
860,119
860,121
860,118
861,118
861,118
860,117
860,124
861,124
861,115
861,114
860,116
860,123
861,122
861,122
860,116
860,118
861,119
861,119
861,116
860,116
861,123
860,120
860,115
860,118
860,121
860,118
861,121
861,120
861,117
860,117
861,118
860,121
861,120
861,122
860,117
860,119
861,123
861,121
861,121
861,119
860,117
860,119
861,121
861,117
861,119
861,121
860,118
861,118
861,122
861,117
860,119
860,118
861,115
861,116
861,113
860,120
861,122
861,118
861,121
860,120
860,118
861,116
860,118
861,119
860,118
861,119
861,120
860,119
861,118
861,118
860,120
860,121
861,118
861,117
860,120
861,119
861,119
861,123
861,122
861,119
860,119
860,118
861,115
861,117
860,117
861,120
861,118
861,118
860,120
860,119
861,119
860,120
861,115
860,116
861,123
861,121
861,118
860,118
860,121
861,120
860,121
861,118
861,117
861,119
860,117
860,118
861,117
861,117
861,119
860,122
861,123
861,121
861,119
860,121
860,118
860,120
861,119
861,119
860,118
860,118
861,117
861,118
860,117
860,113
861,115
861,114
861,116
860,119
860,116
860,116
861,118
861,114
860,121
861,121
861,113
860,118
860,120
861,119
860,118
860,115
861,115
861,118
860,119
860,112
861,116
861,120
861,121
861,122
860,118
861,118
861,117
861,118
860,120
860,118
860,117
860,118
860,119
860,118
861,119
860,119
860,120
861,117
860,116
860,118
861,116
860,119
861,120
860,117
860,117
861,117
861,116
861,116
860,121
860,121
861,121
861,120
860,120
861,117
861,115
861,120
860,122
860,118
861,116
861,116
860,116
860,116
861,115
861,118
861,121
860,118
861,121
860,120
861,116
860,117
860,118
861,121
861,122
860,122
860,119
861,117
861,117
860,118
861,117
860,117
861,123
861,118
861,119
860,121
860,119
861,119
861,119
861,118
861,118
860,115
861,120
860,120
860,121
860,119
861,119
860,120
861,115
860,118
860,122
861,119
860,129
860,124
861,117
860,121
860,114
861,118
860,120
860,117
861,118
861,122
860,120
861,115
861,117
861,118
